0,#810b20,11,60,-2.7068110294296512,8.239246739255954
1,#592200,15,87,-22.442250328153367,3.8114025958117224
2,#c40610,14,65,-3.2070813945992587,13.963429739342942
3,#96000c,9,89,6.8953113748965595,32.075177849802294
4,#7e191c,11,58,11.790147297077516,4.070642071710719
5,#8d1e02,13,97,-0.9220279665279392,4.674688566796042
6,#de0907,12,58,13.210408950559797,-2.1601118555476635
7,#690b0a,14,67,-14.51520999042228,5.576397502278561
8,#cb0e01,11,72,9.486937756963124,-1.4827981390427218
9,#610102,10,83,-26.181923048005157,-4.82505992404401
10,#db0f0c,13,80,5.949915161335787,5.9617471395756105
11,#510a17,8,68,1.1558585436078885,16.878670900757168
12,#9a0016,8,79,5.583441413009636,12.42857159304002
13,#a11915,9,95,-1.015115238440284,-9.838404714654983
14,#8b0d0c,9,84,-6.700138036870137,21.38935009324341
15,#960c1b,16,68,23.049849011641555,-2.8676492075005595
16,#ba0113,12,72,-20.061451843009735,-9.510865400710612
17,#920112,13,91,29.238537785674907,23.83789531488715
18,#cc1616,10,93,-10.158008538125854,-10.567472210032033
19,#a31f21,8,69,-7.037416320426156,-7.256863888412446
20,#ff161c,15,65,-10.914486168374799,-17.862075079242082
21,#e4160c,12,85,18.861585929877695,-4.739290220098699
22,#7f120f,14,81,4.23822451927501,2.629684430136007
23,#c61815,10,86,8.509296322534755,-7.609237328203547
24,#f30922,12,77,-0.020124575353341202,13.035757154413684
25,#dc0b0b,10,81,11.538962178056995,7.329463500555421
26,#f30a08,16,51,-4.518285128856078,-30.951383745527764
27,#ef1b0b,13,65,1.3029709180238327,25.8840564693084
28,#b80e01,10,78,-10.885408296333843,-5.039149376963677
29,#501613,11,57,1.9638792575383475,-8.314866944725187
30,#f31018,9,56,3.887489284919786,-11.597072495869213
31,#e21a10,16,93,7.987779681269668,17.61265728988565
32,#fe151c,14,94,-15.149880997160528,21.336153244885427
33,#791a12,15,64,13.624178042762424,-12.277912259847467
34,#b71808,9,79,-17.127639937409086,-5.922128663434881
35,#e11014,14,53,32.87162974003049,14.234599489335205
36,#c5190d,8,86,-29.636205947829048,11.016953762534783
37,#dd0b0d,11,77,-14.227132074257174,-6.155412452563127
38,#b40206,15,55,33.29147419598341,-20.176618520333932
